STATION_NAME_RAW,STATION_NAME,NAME_CHANGED?,Complex ID,Latitude,Longitude,Neighborhood,PUMA,Borough
CLINTON-WASH AV-C,CLINTON-WASHINGTON AVS (C),NAME_ONLY,177,40.683263,-73.965838,Brooklyn Heights & Fort Greene ,4004,Brooklyn
CLINTON-WASH AV-G,CLINTON-WASHINGTON AVS (G),NAME_ONLY,291,40.688089,-73.966839,Brooklyn Heights & Fort Greene ,4004,Brooklyn
CONEY IS-STILLW-DFNQ,"CONEY ISLAND-STILLWELL AV (D,F,N,Q)",NAME_ONLY,58,40.577422,-73.981233,Brighton Beach & Coney Island ,4018,Brooklyn
CORTELYOU RD-BQ,"CORTELYOU RD (B,Q)",NO,46,40.640927,-73.963891,Flatbush & Midwood ,4015,Brooklyn
CORTLANDT ST-RNW,"CHAMBERS ST-WORLD TRADE CENTER/PARK PLACE/CORTLANDT ST (2,3,A,C,W,R,N,W)",DUPLICATED,624,40.712582,-74.009781,"Battery Park City, Greenwich Village & Soho ",3810,Manhattan
COURT SQ-23 ST-EMG,"COURT SQ-23 ST (7,E,M,G)",DUPLICATED,606,40.747023,-73.945264,Sunnyside & Woodside ,4109,Queens
COURT SQ-7,"COURT SQ-23 ST (7,E,M,G)",DUPLICATED,606,40.747023,-73.945264,Sunnyside & Woodside ,4109,Queens
COURT SQ-EMG,"COURT SQ-23 ST (7,E,M,G)",DUPLICATED,606,40.747023,-73.945264,Sunnyside & Woodside ,4109,Queens
CRESCENT ST-JZ,"CRESCENT ST (J,Z)",NO,87,40.683194,-73.873785,East New York & Starrett City ,4008,Brooklyn
CROWN HTS-UTICA-34,"CROWN HTS-UTICA AV (3,4)",NAME_ONLY,345,40.668897,-73.932942,Crown Heights North & Prospect Heights ,4006,Brooklyn
CYPRESS AV-6,CYPRESS AV (6),NO,375,40.805368,-73.914042,"Hunts Point, Longwood & Melrose ",3710,Bronx
CYPRESS HILLS-J,CYPRESS HILLS (J),NO,86,40.689941,-73.87255,East New York & Starrett City ,4008,Brooklyn
DEKALB AV-BDNQR,"DEKALB AV (B,D,N,Q,R)",NO,26,40.690635,-73.981824,Brooklyn Heights & Fort Greene ,4004,Brooklyn
DEKALB AV-L,DEKALB AV (L),NO,127,40.703811,-73.918425,Bushwick ,4002,Brooklyn
DELANCEY/ESSEX-FJMZ,"DELANCEY ST-ESSEX ST (F,J,M,Z)",COMBINED,625,40.718315,-73.987437,Chinatown & Lower East Side ,3809,Manhattan
DITMAS AV-F,DITMAS AV (F),NO,244,40.636119,-73.978172,"Borough Park, Kensington & Ocean Parkway ",4014,Brooklyn
DYCKMAN ST-1,DYCKMAN ST (1),NO,299,40.860531,-73.925536,"Washington Heights, Inwood & Marble Hill ",3801,Manhattan
